OrderID,Region,Category,Product,OrderDate,Revenue,Cost,Profit,Quantity
ORD00001,West,Electronics,Shoes,2025-11-19,1520.83,1095.7974161057334,425.0325838942665,4
ORD00002,South,Electronics,T-Shirt,2025-04-17,2403.98,2145.085007053059,258.8949929469409,1
ORD00003,South,Electronics,T-Shirt,2025-04-24,2664.19,1749.9652283190696,914.2247716809304,1
ORD00004,East,Clothing,Desk,2025-04-22,1958.68,1171.1020402336414,787.5779597663586,5
ORD00005,East,Furniture,T-Shirt,2025-04-07,3172.56,2388.0392334532917,784.5207665467083,4
ORD00006,West,Electronics,Watch,2025-01-03,876.77,688.2048932544901,188.56510674550987,1
ORD00007,East,Electronics,Headphones,2025-06-26,2714.38,2160.968286833078,553.4117131669223,5
ORD00008,East,Electronics,Headphones,2025-06-30,2377.44,1811.3442500924195,566.0957499075805,4
ORD00009,North,Clothing,T-Shirt,2025-10-18,1821.71,1370.6372058347836,451.07279416521646,3
ORD00010,East,Electronics,Shoes,2025-11-22,2451.66,1648.3616009379018,803.298399062098,3
ORD00011,South,Furniture,Shoes,2025-10-06,2416.24,1509.9192229579958,906.320777042004,4
ORD00012,East,Furniture,Watch,2025-09-11,3620.31,2551.2518260439465,1069.0581739560535,4
ORD00013,West,Accessories,Headphones,2025-06-04,1020.28,639.6280125566548,380.6519874433452,5
ORD00014,North,Furniture,Desk,2025-12-26,4398.39,2639.8351498425363,1758.554850157464,4
ORD00015,West,Electronics,Phone,2025-07-06,4935.02,3492.977781299818,1442.0422187001823,5
ORD00016,West,Accessories,Chair,2025-11-09,1042.83,866.1081907970164,176.72180920298354,2
ORD00017,East,Furniture,Headphones,2025-02-21,2952.81,1881.251590402846,1071.558409597154,1
ORD00018,East,Electronics,Watch,2025-12-09,3565.85,3031.6241117261297,534.2258882738702,2
ORD00019,South,Accessories,Headphones,2025-04-14,3511.91,2579.0575753235044,932.8524246764955,4
ORD00020,South,Clothing,Desk,2025-09-01,3536.1,2959.492837467597,576.607162532403,4
ORD00021,East,Furniture,Watch,2025-07-18,1374.0,1001.6223438373137,372.3776561626863,2
ORD00022,North,Clothing,Laptop,2025-11-27,3322.62,2622.765064019643,699.8549359803569,1
ORD00023,North,Clothing,Chair,2025-05-14,3005.53,1693.8681917065155,1311.6618082934847,4
ORD00024,West,Clothing,Headphones,2025-10-24,988.44,696.5159955528114,291.9240044471886,4
ORD00025,South,Accessories,Phone,2025-11-21,4663.1,3901.466545041475,761.6334549585254,5
ORD00026,East,Electronics,Shoes,2025-11-18,696.16,432.94693679434783,263.21306320565213,5
ORD00027,East,Furniture,Laptop,2025-11-04,3672.31,3298.260962863337,374.0490371366627,5
ORD00028,West,Electronics,Laptop,2025-12-31,759.42,392.78019746587324,366.6398025341267,1
ORD00029,South,Furniture,Desk,2025-09-08,2045.55,1442.6267183287075,602.9232816712924,1
ORD00030,North,Clothing,Shoes,2025-07-26,976.59,539.4272799476139,437.16272005238613,1
